"region","monthly.anom","date"
"North_Pacific",-0.543591084916206,1980-05-01
"North_Pacific",-0.323322535563475,1980-06-01
"North_Pacific",-0.264002067924049,1980-07-01
"North_Pacific",-0.292250964155952,1980-08-01
"North_Pacific",-0.284971873624069,1980-09-01
"North_Pacific",-0.621356677913643,1980-10-01
"North_Pacific",-0.436838972680165,1980-11-01
"North_Pacific",-0.213472953111662,1980-12-01
"North_Pacific",-0.200387238377544,1981-01-01
"North_Pacific",-0.194756288363475,1981-02-01
"North_Pacific",-0.177072615934504,1981-03-01
"North_Pacific",-0.0956777525348688,1981-04-01
"North_Pacific",-0.141386656512013,1981-05-01
"North_Pacific",-0.0721472669945323,1981-06-01
"North_Pacific",-0.196155359390629,1981-07-01
"North_Pacific",-0.215348180870721,1981-08-01
"North_Pacific",-0.249984048850551,1981-09-01
"North_Pacific",-0.161383846937998,1981-10-01
"North_Pacific",-0.19781636326489,1981-11-01
"North_Pacific",-0.213347607426896,1981-12-01
"North_Pacific",-0.127345837649586,1982-01-01
"North_Pacific",-0.106647684674827,1982-02-01
"North_Pacific",-0.0834304437069208,1982-03-01
"North_Pacific",-0.217531934107741,1982-04-01
"North_Pacific",-0.176987366157917,1982-05-01
"North_Pacific",-0.36455089765493,1982-06-01
"North_Pacific",-0.662194429393757,1982-07-01
"North_Pacific",-0.609566886612489,1982-08-01
"North_Pacific",-0.605319164186346,1982-09-01
"North_Pacific",-0.366375424511043,1982-10-01
"North_Pacific",-0.208820234354657,1982-11-01
"North_Pacific",-0.152278875519059,1982-12-01
"North_Pacific",-0.141968988802482,1983-01-01
"North_Pacific",-0.204774905954733,1983-02-01
"North_Pacific",-0.263423040096046,1983-03-01
"North_Pacific",-0.254019343899405,1983-04-01
"North_Pacific",-0.29433408887494,1983-05-01
"North_Pacific",-0.473558275388989,1983-06-01
"North_Pacific",-0.682696836371838,1983-07-01
"North_Pacific",-0.506479394003432,1983-08-01
"North_Pacific",-0.231384226228884,1983-09-01
"North_Pacific",-0.186895925639389,1983-10-01
"North_Pacific",-0.113730343406958,1983-11-01
"North_Pacific",-0.164207375611566,1983-12-01
"North_Pacific",-0.0816287807500393,1984-01-01
"North_Pacific",-0.0729998337477969,1984-02-01
"North_Pacific",-0.10549301137562,1984-03-01
"North_Pacific",-0.205928195763141,1984-04-01
"North_Pacific",-0.0776989633699481,1984-05-01
"North_Pacific",0.0405838393880937,1984-06-01
"North_Pacific",0.0323927234975263,1984-07-01
"North_Pacific",-0.182417964225925,1984-08-01
"North_Pacific",-0.121906914561085,1984-09-01
"North_Pacific",-0.306705868952244,1984-10-01
"North_Pacific",-0.235317724341331,1984-11-01
"North_Pacific",-0.210714781165699,1984-12-01
"North_Pacific",-0.24259957836945,1985-01-01
